sample_id,SampleName,BioSample,BioProject
401009,102.100.100/401009,SAMN43264562,PRJNA1122929
401010,102.100.100/401010,SAMN43264563,PRJNA1122929
401011,102.100.100/401011,SAMN43264564,PRJNA1122929
401012,102.100.100/401012,SAMN43264565,PRJNA1122929
401013,102.100.100/401013,SAMN43264566,PRJNA1122929
401034,102.100.100/401034,SAMN43264585,PRJNA1122929
401035,102.100.100/401035,SAMN43264586,PRJNA1122929
401025,102.100.100/401025,SAMN43264577,PRJNA1122929
401031,102.100.100/401031,SAMN43264582,PRJNA1122929
401030,102.100.100/401030,SAMN43264581,PRJNA1122929
401029,102.100.100/401029,SAMN43264580,PRJNA1122929
401027,102.100.100/401027,SAMN43264579,PRJNA1122929
401026,102.100.100/401026,SAMN43264578,PRJNA1122929
401024,102.100.100/401024,SAMN43264576,PRJNA1122929
401023,102.100.100/401023,SAMN43264575,PRJNA1122929
401003,102.100.100/401003,SAMN43264556,PRJNA1122929
400957,102.100.100/400957,SAMN43264512,PRJNA1122929
401002,102.100.100/401002,SAMN43264555,PRJNA1122929
401007,102.100.100/401007,SAMN43264560,PRJNA1122929
401006,102.100.100/401006,SAMN43264559,PRJNA1122929
401005,102.100.100/401005,SAMN43264558,PRJNA1122929
401004,102.100.100/401004,SAMN43264557,PRJNA1122929
400997,102.100.100/400997,SAMN43264550,PRJNA1122929
401001,102.100.100/401001,SAMN43264554,PRJNA1122929
401000,102.100.100/401000,SAMN43264553,PRJNA1122929
400999,102.100.100/400999,SAMN43264552,PRJNA1122929
400994,102.100.100/400994,SAMN43264547,PRJNA1122929
400995,102.100.100/400995,SAMN43264548,PRJNA1122929
400998,102.100.100/400998,SAMN43264551,PRJNA1122929
400956,102.100.100/400956,SAMN43264511,PRJNA1122929
400990,102.100.100/400990,SAMN43264543,PRJNA1122929
400991,102.100.100/400991,SAMN43264544,PRJNA1122929
400992,102.100.100/400992,SAMN43264545,PRJNA1122929
400993,102.100.100/400993,SAMN43264546,PRJNA1122929
400996,102.100.100/400996,SAMN43264549,PRJNA1122929
137772,102.100.100/137772,SAMN43263942,PRJNA1122929
137773,102.100.100/137773,SAMN43263943,PRJNA1122929
137776,102.100.100/137776,SAMN43263944,PRJNA1122929
137818,102.100.100/137818,SAMN43263972,PRJNA1122929
137904,102.100.100/137904,SAMN43264030,PRJNA1122929
137905,102.100.100/137905,SAMN43264031,PRJNA1122929
137908,102.100.100/137908,SAMN43264032,PRJNA1122929
137909,102.100.100/137909,SAMN43264033,PRJNA1122929
137910,102.100.100/137910,SAMN43264034,PRJNA1122929
137911,102.100.100/137911,SAMN43264035,PRJNA1122929
137914,102.100.100/137914,SAMN43264036,PRJNA1122929
137915,102.100.100/137915,SAMN43264037,PRJNA1122929
137916,102.100.100/137916,SAMN43264038,PRJNA1122929
137917,102.100.100/137917,SAMN43264039,PRJNA1122929
137932,102.100.100/137932,SAMN43264046,PRJNA1122929
137933,102.100.100/137933,SAMN43264047,PRJNA1122929
400987,102.100.100/400987,SAMN43264540,PRJNA1122929
400988,102.100.100/400988,SAMN43264541,PRJNA1122929
400989,102.100.100/400989,SAMN43264542,PRJNA1122929
137759,102.100.100/137759,SAMN43263933,PRJNA1122929
137760,102.100.100/137760,SAMN43263934,PRJNA1122929
137777,102.100.100/137777,SAMN43263945,PRJNA1122929
137778,102.100.100/137778,SAMN43263946,PRJNA1122929
137779,102.100.100/137779,SAMN43263947,PRJNA1122929
137783,102.100.100/137783,SAMN43263949,PRJNA1122929
137784,102.100.100/137784,SAMN43263950,PRJNA1122929
137785,102.100.100/137785,SAMN43263951,PRJNA1122929
137788,102.100.100/137788,SAMN43263952,PRJNA1122929
137890,102.100.100/137890,SAMN43264020,PRJNA1122929
137891,102.100.100/137891,SAMN43264021,PRJNA1122929
137897,102.100.100/137897,SAMN43264025,PRJNA1122929
137898,102.100.100/137898,SAMN43264026,PRJNA1122929
137899,102.100.100/137899,SAMN43264027,PRJNA1122929
137902,102.100.100/137902,SAMN43264028,PRJNA1122929
137903,102.100.100/137903,SAMN43264029,PRJNA1122929
137920,102.100.100/137920,SAMN43264040,PRJNA1122929
137921,102.100.100/137921,SAMN43264041,PRJNA1122929
137922,102.100.100/137922,SAMN43264042,PRJNA1122929
137926,102.100.100/137926,SAMN43264043,PRJNA1122929
137927,102.100.100/137927,SAMN43264044,PRJNA1122929
137928,102.100.100/137928,SAMN43264045,PRJNA1122929
137940,102.100.100/137940,SAMN43264051,PRJNA1122929
137941,102.100.100/137941,SAMN43264052,PRJNA1122929
137944,102.100.100/137944,SAMN43264053,PRJNA1122929
137945,102.100.100/137945,SAMN43264054,PRJNA1122929
137946,102.100.100/137946,SAMN43264055,PRJNA1122929
137947,102.100.100/137947,SAMN43264056,PRJNA1122929
137770,102.100.100/137770,SAMN43263940,PRJNA1122929
137771,102.100.100/137771,SAMN43263941,PRJNA1122929
137861,102.100.100/137861,SAMN43264001,PRJNA1122929
137862,102.100.100/137862,SAMN43264002,PRJNA1122929
137873,102.100.100/137873,SAMN43264009,PRJNA1122929
137874,102.100.100/137874,SAMN43264010,PRJNA1122929
137875,102.100.100/137875,SAMN43264011,PRJNA1122929
137878,102.100.100/137878,SAMN43264012,PRJNA1122929
137879,102.100.100/137879,SAMN43264013,PRJNA1122929
137880,102.100.100/137880,SAMN43264014,PRJNA1122929
137881,102.100.100/137881,SAMN43264015,PRJNA1122929
137884,102.100.100/137884,SAMN43264016,PRJNA1122929
137885,102.100.100/137885,SAMN43264017,PRJNA1122929
137886,102.100.100/137886,SAMN43264018,PRJNA1122929
137887,102.100.100/137887,SAMN43264019,PRJNA1122929
137892,102.100.100/137892,SAMN43264022,PRJNA1122929
137893,102.100.100/137893,SAMN43264023,PRJNA1122929
137896,102.100.100/137896,SAMN43264024,PRJNA1122929
137872,102.100.100/137872,SAMN43264008,PRJNA1122929
