GENOME,SAMPLE
BPAM22-1_SAMN07449447_MAG_00000087,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000088,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000089,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000091,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000092,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000094,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000095,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000096,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000098,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000100,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000105,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000107,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000108,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000110,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000111,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07449447_MAG_00000113,BPAM22-1_SAMN07449447_METAG
BPAM22-1_SAMN07482799_MAG_00000043,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000049,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000054,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000057,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000059,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000061,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000062,BPAM22-1_SAMN07482799_METAG
